Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Wyatt Johnston,20,C,19,10,6,16,4,2,7,2,1,2,5,1,0,57,17.5,392,20:38,johnswy01
2,Miro Heiskanen,24,D,19,6,10,16,0,8,3,3,0,0,6,4,0,44,13.6,536,28:11,heiskmi01
3,Jason Robertson,24,LW,19,6,10,16,-2,0,4,2,0,2,6,4,0,46,13.0,375,19:44,roberja01
4,Jamie Benn,34,LW,19,4,11,15,5,6,3,1,0,0,8,3,0,36,11.1,326,17:08,bennja01
5,Tyler Seguin,32,C,19,5,8,13,9,2,4,0,1,2,6,2,0,59,8.5,327,17:13,seguity01
6,Logan Stankoven,20,C,19,3,5,8,6,2,3,0,0,0,5,0,0,36,8.3,304,16:01,stanklo01
7,Roope Hintz,27,LW,15,2,6,8,0,6,2,0,0,0,4,2,0,17,11.8,260,17:20,hintzro01
8,Evgenii Dadonov,34,RW,19,3,4,7,0,2,3,0,0,0,4,0,0,26,11.5,245,12:55,dadonev01
9,Matt Duchene,33,C,19,2,4,6,0,6,1,1,0,1,3,1,0,27,7.4,326,17:10,duchema01
10,Esa Lindell,29,D,19,3,2,5,2,4,3,0,0,0,2,0,0,23,13.0,470,24:45,lindees01
11,Mason Marchment,28,F,13,3,2,5,-3,10,3,0,0,1,2,0,0,24,12.5,211,16:15,marchma01
12,Sam Steel,25,C,19,1,4,5,1,2,1,0,0,0,3,0,1,19,5.3,252,13:15,steelsa01
13,Joe Pavelski,39,C,19,1,3,4,-5,2,1,0,0,0,2,1,0,27,3.7,336,17:42,paveljo01
14,Ryan Suter,39,D,19,1,3,4,1,16,1,0,0,0,3,0,0,9,11.1,339,17:50,suterry01
15,Thomas Harley,22,D,19,0,4,4,8,0,0,0,0,0,3,0,1,28,0.0,453,23:52,harleth01
16,Craig Smith,34,C,14,0,2,2,-2,2,0,0,0,0,2,0,0,14,0.0,157,11:14,smithcr01
17,Chris Tanev,34,D,19,0,2,2,7,6,0,0,0,0,2,0,0,13,0.0,424,22:18,tanevch01
18,Ty Dellandrea,23,C,6,1,0,1,0,2,1,0,0,1,0,0,0,8,12.5,64,10:45,dellaty01
19,Radek Faksa,30,C,8,1,0,1,-1,2,1,0,0,1,0,0,0,8,12.5,95,11:55,faksara01
20,Nils Lundkvist,23,D,12,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,54,4:28,lundkni01
21,Jake Oettinger,25,G,19,0,1,1,0,2,0,0,0,0,1,0,0,0,,1207,63:31,oettija01
22,Mavrik Bourque,22,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,7:56,bourqma01
23,Alexander Petrovic,31,D,7,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,84,12:02,petroal01
,Team Total,,,19,52,88,140,31,86,41,9,2,10,68,18,2,531,9.8,,,-9999
